Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Applicant_Income, Loan_Amount ,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001248,Male,No,0,Graduate,No,3500,$81.00 ,300,1,Semiurban,Y
LP001250,Male,Yes,3+,Not Graduate,No,4755,$95.00 ,,0,Semiurban,N
LP001253,Male,Yes,3+,Graduate,Yes,5266,$187.00 ,360,1,Semiurban,Y
LP001255,Male,No,0,Graduate,No,3750,$113.00 ,480,1,Urban,N
LP001256,Male,No,0,Graduate,No,3750,$176.00 ,360,1,Urban,N
LP001259,Male,Yes,1,Graduate,Yes,1000,$110.00 ,360,1,Urban,N
LP001263,Male,Yes,3+,Graduate,No,3167,$180.00 ,300,0,Semiurban,N
LP001264,Male,Yes,3+,Not Graduate,Yes,3333,$130.00 ,360,,Semiurban,Y
LP001265,Female,No,0,Graduate,No,3846,$111.00 ,360,1,Semiurban,Y
LP001266,Male,Yes,1,Graduate,Yes,2395,,360,1,Semiurban,Y
LP001267,Female,Yes,2,Graduate,No,1378,$167.00 ,360,1,Urban,N
LP001273,Male,Yes,0,Graduate,No,6000,$265.00 ,360,,Semiurban,N
LP001275,Male,Yes,1,Graduate,No,3988,$50.00 ,240,1,Urban,Y
LP001279,Male,No,0,Graduate,No,2366,$136.00 ,360,1,Semiurban,Y
LP001280,Male,Yes,2,Not Graduate,No,3333,$99.00 ,360,,Semiurban,Y
LP001282,Male,Yes,0,Graduate,No,2500,$104.00 ,360,1,Semiurban,Y
LP001289,Male,No,0,Graduate,No,8566,$210.00 ,360,1,Urban,Y
LP001310,Male,Yes,0,Graduate,No,5695,$175.00 ,360,1,Semiurban,Y
LP001316,Male,Yes,0,Graduate,No,2958,$131.00 ,360,1,Semiurban,Y
LP001318,Male,Yes,2,Graduate,No,6250,$188.00 ,180,1,Semiurban,Y
LP001319,Male,Yes,2,Not Graduate,No,3273,$81.00 ,360,1,Urban,Y
LP001322,Male,No,0,Graduate,No,4133,$122.00 ,360,1,Semiurban,Y
LP001325,Male,No,0,Not Graduate,No,3620,$25.00 ,120,1,Semiurban,Y
LP001326,Male,No,0,Graduate,,6782,,360,,Urban,N
LP001327,Female,Yes,0,Graduate,No,2484,$137.00 ,360,1,Semiurban,Y
LP001333,Male,Yes,0,Graduate,No,1977,$50.00 ,360,1,Semiurban,Y
LP001334,Male,Yes,0,Not Graduate,No,4188,$115.00 ,180,1,Semiurban,Y
LP001343,Male,Yes,0,Graduate,No,1759,$131.00 ,360,1,Semiurban,Y
LP001345,Male,Yes,2,Not Graduate,No,4288,$133.00 ,180,1,Urban,Y
LP001349,Male,No,0,Graduate,No,4843,$151.00 ,360,1,Semiurban,Y
LP001350,Male,Yes,,Graduate,No,13650,,360,1,Urban,Y
LP001356,Male,Yes,0,Graduate,No,4652,,360,1,Semiurban,Y
LP001357,Male,,,Graduate,No,3816,$160.00 ,360,1,Urban,Y
LP001367,Male,Yes,1,Graduate,No,3052,$100.00 ,360,1,Urban,Y
LP001369,Male,Yes,2,Graduate,No,11417,$225.00 ,360,1,Urban,Y
LP001370,Male,No,0,Not Graduate,,7333,$120.00 ,360,1,Rural,N
LP001379,Male,Yes,2,Graduate,No,3800,$216.00 ,360,0,Urban,N
LP001384,Male,Yes,3+,Not Graduate,No,2071,$94.00 ,480,1,Semiurban,Y
LP001385,Male,No,0,Graduate,No,5316,$136.00 ,360,1,Urban,Y
LP001387,Female,Yes,0,Graduate,,2929,$139.00 ,360,1,Semiurban,Y
LP001391,Male,Yes,0,Not Graduate,No,3572,$152.00 ,,0,Rural,N
LP001392,Female,No,1,Graduate,Yes,7451,,360,1,Semiurban,Y
LP001398,Male,No,0,Graduate,,5050,$118.00 ,360,1,Semiurban,Y
LP001401,Male,Yes,1,Graduate,No,14583,$185.00 ,180,1,Rural,Y
LP001404,Female,Yes,0,Graduate,No,3167,$154.00 ,360,1,Semiurban,Y
LP001405,Male,Yes,1,Graduate,No,2214,$85.00 ,360,,Urban,Y
LP001421,Male,Yes,0,Graduate,No,5568,$175.00 ,360,1,Rural,N
LP001422,Female,No,0,Graduate,No,10408,$259.00 ,360,1,Urban,Y
LP001426,Male,Yes,,Graduate,No,5667,$180.00 ,360,1,Rural,Y
LP001430,Female,No,0,Graduate,No,4166,$44.00 ,360,1,Semiurban,Y
LP001431,Female,No,0,Graduate,No,2137,$137.00 ,360,0,Semiurban,Y
LP001432,Male,Yes,2,Graduate,No,2957,$81.00 ,360,1,Semiurban,Y
LP001439,Male,Yes,0,Not Graduate,No,4300,$194.00 ,360,1,Rural,Y
LP001443,Female,No,0,Graduate,No,3692,$93.00 ,360,,Rural,Y
LP001448,,Yes,3+,Graduate,No,23803,$370.00 ,360,1,Rural,Y
LP001449,Male,No,0,Graduate,No,3865,,360,1,Rural,Y
LP001451,Male,Yes,1,Graduate,Yes,10513,$160.00 ,180,0,Urban,N
LP001465,Male,Yes,0,Graduate,No,6080,$182.00 ,360,,Rural,N
LP001469,Male,No,0,Graduate,Yes,20166,$650.00 ,480,,Urban,Y
LP001473,Male,No,0,Graduate,No,2014,$74.00 ,360,1,Urban,Y
LP001478,Male,No,0,Graduate,No,2718,$70.00 ,360,1,Semiurban,Y
LP001482,Male,Yes,0,Graduate,Yes,3459,$25.00 ,120,1,Semiurban,Y
LP001487,Male,No,0,Graduate,No,4895,$102.00 ,360,1,Semiurban,Y
LP001488,Male,Yes,3+,Graduate,No,4000,$290.00 ,360,1,Semiurban,N
LP001489,Female,Yes,0,Graduate,No,4583,$84.00 ,360,1,Rural,N
LP001491,Male,Yes,2,Graduate,Yes,3316,$88.00 ,360,1,Urban,Y
LP001492,Male,No,0,Graduate,No,14999,$242.00 ,360,0,Semiurban,N
LP001493,Male,Yes,2,Not Graduate,No,4200,$129.00 ,360,1,Rural,N
LP001497,Male,Yes,2,Graduate,No,5042,$185.00 ,360,1,Rural,N
LP001498,Male,No,0,Graduate,No,5417,$168.00 ,360,1,Urban,Y
LP001504,Male,No,0,Graduate,Yes,6950,$175.00 ,180,1,Semiurban,Y
LP001507,Male,Yes,0,Graduate,No,2698,$122.00 ,360,1,Semiurban,Y
LP001508,Male,Yes,2,Graduate,No,11757,$187.00 ,180,1,Urban,Y
LP001514,Female,Yes,0,Graduate,No,2330,$100.00 ,360,1,Semiurban,Y
LP001516,Female,Yes,2,Graduate,No,14866,$70.00 ,360,1,Urban,Y
LP001518,Male,Yes,1,Graduate,No,1538,$30.00 ,360,1,Urban,Y
LP001519,Female,No,0,Graduate,No,10000,$225.00 ,360,1,Rural,N
LP001520,Male,Yes,0,Graduate,No,4860,$125.00 ,360,1,Semiurban,Y
LP001528,Male,No,0,Graduate,No,6277,$118.00 ,360,0,Rural,N
LP001529,Male,Yes,0,Graduate,Yes,2577,$152.00 ,360,1,Rural,Y
LP001531,Male,No,0,Graduate,No,9166,$244.00 ,360,1,Urban,N
LP001532,Male,Yes,2,Not Graduate,No,2281,$113.00 ,360,1,Rural,N
LP001535,Male,No,0,Graduate,No,3254,$50.00 ,360,1,Urban,Y
LP001536,Male,Yes,3+,Graduate,No,39999,$600.00 ,180,0,Semiurban,Y
LP001541,Male,Yes,1,Graduate,No,6000,$160.00 ,360,,Rural,Y
LP001543,Male,Yes,1,Graduate,No,9538,$187.00 ,360,1,Urban,Y
LP001546,Male,No,0,Graduate,,2980,$120.00 ,360,1,Rural,Y
LP001552,Male,Yes,0,Graduate,No,4583,$255.00 ,360,1,Semiurban,Y
LP001560,Male,Yes,0,Not Graduate,No,1863,$98.00 ,360,1,Semiurban,Y
LP001562,Male,Yes,0,Graduate,No,7933,$275.00 ,360,1,Urban,N
LP001565,Male,Yes,1,Graduate,No,3089,$121.00 ,360,0,Semiurban,N
LP001570,Male,Yes,2,Graduate,No,4167,$158.00 ,360,1,Rural,Y
LP001572,Male,Yes,0,Graduate,No,9323,$75.00 ,180,1,Urban,Y
LP001574,Male,Yes,0,Graduate,No,3707,$182.00 ,,1,Rural,Y
LP001577,Female,Yes,0,Graduate,No,4583,$112.00 ,360,1,Rural,N
LP001578,Male,Yes,0,Graduate,No,2439,$129.00 ,360,1,Rural,Y
LP001579,Male,No,0,Graduate,No,2237,$63.00 ,480,0,Semiurban,N
LP001580,Male,Yes,2,Graduate,No,8000,$200.00 ,360,1,Semiurban,Y
LP001581,Male,Yes,0,Not Graduate,,1820,$95.00 ,360,1,Rural,Y
LP001585,,Yes,3+,Graduate,No,51763,$700.00 ,300,1,Urban,Y
LP001586,Male,Yes,3+,Not Graduate,No,3522,$81.00 ,180,1,Rural,N
LP001594,Male,Yes,0,Graduate,No,5708,$187.00 ,360,1,Semiurban,Y
LP001603,Male,Yes,0,Not Graduate,Yes,4344,$87.00 ,360,1,Semiurban,N
LP001606,Male,Yes,0,Graduate,No,3497,$116.00 ,360,1,Rural,Y
LP001608,Male,Yes,2,Graduate,No,2045,$101.00 ,360,1,Rural,Y
LP001610,Male,Yes,3+,Graduate,No,5516,$495.00 ,360,0,Semiurban,N
LP001616,Male,Yes,1,Graduate,No,3750,$116.00 ,360,1,Semiurban,Y
LP001630,Male,No,0,Not Graduate,No,2333,$102.00 ,480,0,Urban,N
LP001633,Male,Yes,1,Graduate,No,6400,$180.00 ,360,0,Urban,N
LP001634,Male,No,0,Graduate,No,1916,$67.00 ,360,,Rural,N
LP001636,Male,Yes,0,Graduate,No,4600,$73.00 ,180,1,Semiurban,Y
LP001637,Male,Yes,1,Graduate,No,33846,$260.00 ,360,1,Semiurban,N
LP001639,Female,Yes,0,Graduate,No,3625,$108.00 ,360,1,Semiurban,Y
LP001640,Male,Yes,0,Graduate,Yes,39147,$120.00 ,360,1,Semiurban,Y
LP001641,Male,Yes,1,Graduate,Yes,2178,$66.00 ,300,0,Rural,N
LP001643,Male,Yes,0,Graduate,No,2383,$58.00 ,360,,Rural,Y
LP001644,,Yes,0,Graduate,Yes,674,$168.00 ,360,1,Rural,Y
LP001647,Male,Yes,0,Graduate,No,9328,$188.00 ,180,1,Rural,Y
LP001653,Male,No,0,Not Graduate,No,4885,$48.00 ,360,1,Rural,Y
LP001656,Male,No,0,Graduate,No,12000,$164.00 ,360,1,Semiurban,N
LP001657,Male,Yes,0,Not Graduate,No,6033,$160.00 ,360,1,Urban,N
LP001658,Male,No,0,Graduate,No,3858,$76.00 ,360,1,Semiurban,Y
LP001664,Male,No,0,Graduate,No,4191,$120.00 ,360,1,Rural,Y
LP001665,Male,Yes,1,Graduate,No,3125,$170.00 ,360,1,Semiurban,N
LP001666,Male,No,0,Graduate,No,8333,$187.00 ,360,1,Rural,Y
LP001669,Female,No,0,Not Graduate,No,1907,$120.00 ,,1,Urban,Y
LP001671,Female,Yes,0,Graduate,No,3416,$113.00 ,360,,Semiurban,Y
LP001673,Male,No,0,Graduate,Yes,11000,$83.00 ,360,1,Urban,N
LP001674,Male,Yes,1,Not Graduate,No,2600,$90.00 ,360,1,Semiurban,Y
LP001677,Male,No,2,Graduate,No,4923,$166.00 ,360,0,Semiurban,Y
LP001682,Male,Yes,3+,Not Graduate,No,3992,,180,1,Urban,N
LP001688,Male,Yes,1,Not Graduate,No,3500,$135.00 ,360,1,Urban,Y
LP001691,Male,Yes,2,Not Graduate,No,3917,$124.00 ,360,1,Semiurban,Y
LP001692,Female,No,0,Not Graduate,No,4408,$120.00 ,360,1,Semiurban,Y
LP001693,Female,No,0,Graduate,No,3244,$80.00 ,360,1,Urban,Y
LP001698,Male,No,0,Not Graduate,No,3975,$55.00 ,360,1,Rural,Y
LP001699,Male,No,0,Graduate,No,2479,$59.00 ,360,1,Urban,Y
LP001702,Male,No,0,Graduate,No,3418,$127.00 ,360,1,Semiurban,N
LP001708,Female,No,0,Graduate,No,10000,$214.00 ,360,1,Semiurban,N
LP001711,Male,Yes,3+,Graduate,No,3430,$128.00 ,360,0,Semiurban,N
LP001713,Male,Yes,1,Graduate,Yes,7787,$240.00 ,360,1,Urban,Y
LP001715,Male,Yes,3+,Not Graduate,Yes,5703,$130.00 ,360,1,Rural,Y
LP001716,Male,Yes,0,Graduate,No,3173,$137.00 ,360,1,Urban,Y
LP001720,Male,Yes,3+,Not Graduate,No,3850,$100.00 ,360,1,Semiurban,Y
LP001722,Male,Yes,0,Graduate,No,150,$135.00 ,360,1,Rural,N
LP001726,Male,Yes,0,Graduate,No,3727,$131.00 ,360,1,Semiurban,Y
LP001732,Male,Yes,2,Graduate,,5000,$72.00 ,360,0,Semiurban,N
LP001734,Female,Yes,2,Graduate,No,4283,$127.00 ,360,,Semiurban,Y
LP001736,Male,Yes,0,Graduate,No,2221,$60.00 ,360,0,Urban,N
LP001743,Male,Yes,2,Graduate,No,4009,$116.00 ,360,1,Semiurban,Y
LP001744,Male,No,0,Graduate,No,2971,$144.00 ,360,1,Semiurban,Y
LP001749,Male,Yes,0,Graduate,No,7578,$175.00 ,,1,Semiurban,Y
LP001750,Male,Yes,0,Graduate,No,6250,$128.00 ,360,1,Semiurban,Y
LP001751,Male,Yes,0,Graduate,No,3250,$170.00 ,360,1,Rural,N
LP001754,Male,Yes,,Not Graduate,Yes,4735,$138.00 ,360,1,Urban,N
LP001758,Male,Yes,2,Graduate,No,6250,$210.00 ,360,1,Semiurban,Y
LP001760,Male,,,Graduate,No,4758,$158.00 ,480,1,Semiurban,Y
LP001761,Male,No,0,Graduate,Yes,6400,$200.00 ,360,1,Rural,Y
LP001765,Male,Yes,1,Graduate,No,2491,$104.00 ,360,1,Semiurban,Y
LP001768,Male,Yes,0,Graduate,,3716,$42.00 ,180,1,Rural,Y
LP001770,Male,No,0,Not Graduate,No,3189,$120.00 ,,1,Rural,Y
LP001776,Female,No,0,Graduate,No,8333,$280.00 ,360,1,Semiurban,Y
LP001778,Male,Yes,1,Graduate,No,3155,$140.00 ,360,1,Semiurban,Y
LP001784,Male,Yes,1,Graduate,No,5500,$170.00 ,360,1,Rural,Y
LP001786,Male,Yes,0,Graduate,,5746,$255.00 ,360,,Urban,N
LP001788,Female,No,0,Graduate,Yes,3463,$122.00 ,360,,Urban,Y
LP001790,Female,No,1,Graduate,No,3812,$112.00 ,360,1,Rural,Y
LP001792,Male,Yes,1,Graduate,No,3315,$96.00 ,360,1,Semiurban,Y
LP001798,Male,Yes,2,Graduate,No,5819,$120.00 ,360,1,Rural,Y
LP001800,Male,Yes,1,Not Graduate,No,2510,$140.00 ,180,1,Urban,N
LP001806,Male,No,0,Graduate,No,2965,$155.00 ,60,1,Urban,Y
LP001807,Male,Yes,2,Graduate,Yes,6250,$108.00 ,360,1,Rural,Y
LP001811,Male,Yes,0,Not Graduate,No,3406,$123.00 ,360,1,Semiurban,Y
LP001813,Male,No,0,Graduate,Yes,6050,$120.00 ,180,1,Urban,N
LP001814,Male,Yes,2,Graduate,No,9703,$112.00 ,360,1,Urban,Y
LP001819,Male,Yes,1,Not Graduate,No,6608,$137.00 ,180,1,Urban,Y
LP001824,Male,Yes,1,Graduate,No,2882,$123.00 ,480,1,Semiurban,Y
LP001825,Male,Yes,0,Graduate,No,1809,$90.00 ,360,1,Urban,Y
LP001835,Male,Yes,0,Not Graduate,No,1668,$201.00 ,360,0,Semiurban,N
LP001836,Female,No,2,Graduate,No,3427,$138.00 ,360,1,Urban,N
LP001841,Male,No,0,Not Graduate,Yes,2583,$104.00 ,360,1,Rural,Y
LP001843,Male,Yes,1,Not Graduate,No,2661,$279.00 ,180,1,Semiurban,Y
LP001844,Male,No,0,Graduate,Yes,16250,$192.00 ,360,0,Urban,N
LP001846,Female,No,3+,Graduate,No,3083,$255.00 ,360,1,Rural,Y
LP001849,Male,No,0,Not Graduate,No,6045,$115.00 ,360,0,Rural,N
LP001854,Male,Yes,3+,Graduate,No,5250,$94.00 ,360,1,Urban,N
LP001859,Male,Yes,0,Graduate,No,14683,$304.00 ,360,1,Rural,N
LP001864,Male,Yes,3+,Not Graduate,No,4931,$128.00 ,360,,Semiurban,N
LP001865,Male,Yes,1,Graduate,No,6083,$330.00 ,360,,Urban,Y
LP001868,Male,No,0,Graduate,No,2060,$134.00 ,360,1,Semiurban,Y
LP001870,Female,No,1,Graduate,No,3481,$155.00 ,36,1,Semiurban,N
LP001871,Female,No,0,Graduate,No,7200,$120.00 ,360,1,Rural,Y
LP001872,Male,No,0,Graduate,Yes,5166,$128.00 ,360,1,Semiurban,Y
LP001875,Male,No,0,Graduate,No,4095,$151.00 ,360,1,Rural,Y
LP001877,Male,Yes,2,Graduate,No,4708,$150.00 ,360,1,Semiurban,Y
LP001882,Male,Yes,3+,Graduate,No,4333,$160.00 ,360,0,Urban,Y
LP001883,Female,No,0,Graduate,,3418,$135.00 ,360,1,Rural,N
LP001884,Female,No,1,Graduate,No,2876,$90.00 ,360,1,Urban,Y
LP001888,Female,No,0,Graduate,No,3237,$30.00 ,360,1,Urban,Y
LP001891,Male,Yes,0,Graduate,No,11146,$136.00 ,360,1,Urban,Y
LP001892,Male,No,0,Graduate,No,2833,$126.00 ,360,1,Rural,Y
LP001894,Male,Yes,0,Graduate,No,2620,$150.00 ,360,1,Semiurban,Y
LP001896,Male,Yes,2,Graduate,No,3900,$90.00 ,360,1,Semiurban,Y
LP001900,Male,Yes,1,Graduate,No,2750,$115.00 ,360,1,Semiurban,Y
LP001903,Male,Yes,0,Graduate,No,3993,$207.00 ,360,1,Semiurban,Y
LP001904,Male,Yes,0,Graduate,No,3103,$80.00 ,360,1,Urban,Y
LP001907,Male,Yes,0,Graduate,No,14583,$436.00 ,360,1,Semiurban,Y
LP001908,Female,Yes,0,Not Graduate,No,4100,$124.00 ,360,,Rural,Y
LP001910,Male,No,1,Not Graduate,Yes,4053,$158.00 ,360,0,Urban,N
LP001914,Male,Yes,0,Graduate,No,3927,$112.00 ,360,1,Semiurban,Y
LP001915,Male,Yes,2,Graduate,No,2301,$78.00 ,180,1,Urban,Y
LP001917,Female,No,0,Graduate,No,1811,$54.00 ,360,1,Urban,Y
LP001922,Male,Yes,0,Graduate,No,20667,,360,1,Rural,N
LP001924,Male,No,0,Graduate,No,3158,$89.00 ,360,1,Rural,Y
LP001925,Female,No,0,Graduate,Yes,2600,$99.00 ,300,1,Semiurban,N
LP001926,Male,Yes,0,Graduate,No,3704,$120.00 ,360,1,Rural,Y
LP001931,Female,No,0,Graduate,No,4124,$115.00 ,360,1,Semiurban,Y
LP001935,Male,No,0,Graduate,No,9508,$187.00 ,360,1,Rural,Y
LP001936,Male,Yes,0,Graduate,No,3075,$139.00 ,360,1,Rural,Y
LP001938,Male,Yes,2,Graduate,No,4400,$127.00 ,360,0,Semiurban,N
LP001940,Male,Yes,2,Graduate,No,3153,$134.00 ,360,1,Urban,Y
LP001945,Female,No,,Graduate,No,5417,$143.00 ,480,0,Urban,N
LP001947,Male,Yes,0,Graduate,No,2383,$172.00 ,360,1,Semiurban,Y
LP001949,Male,Yes,3+,Graduate,,4416,$110.00 ,360,1,Urban,Y
LP001953,Male,Yes,1,Graduate,No,6875,$200.00 ,360,1,Semiurban,Y
LP001954,Female,Yes,1,Graduate,No,4666,$135.00 ,360,1,Urban,Y
LP001955,Female,No,0,Graduate,No,5000,$151.00 ,480,1,Rural,N
LP001963,Male,Yes,1,Graduate,No,2014,$113.00 ,360,1,Urban,N
LP001964,Male,Yes,0,Not Graduate,No,1800,$93.00 ,360,0,Urban,N
LP001972,Male,Yes,,Not Graduate,No,2875,$105.00 ,360,1,Semiurban,Y
LP001974,Female,No,0,Graduate,No,5000,$132.00 ,360,1,Rural,Y
LP001977,Male,Yes,1,Graduate,No,1625,$96.00 ,360,1,Urban,Y
LP001978,Male,No,0,Graduate,No,4000,$140.00 ,360,1,Rural,Y
LP001990,Male,No,0,Not Graduate,No,2000,,360,1,Urban,N
LP001993,Female,No,0,Graduate,No,3762,$135.00 ,360,1,Rural,Y
LP001994,Female,No,0,Graduate,No,2400,$104.00 ,360,0,Urban,N
LP001996,Male,No,0,Graduate,No,20233,$480.00 ,360,1,Rural,N
LP001998,Male,Yes,2,Not Graduate,No,7667,$185.00 ,360,,Rural,Y
LP002002,Female,No,0,Graduate,No,2917,$84.00 ,360,1,Semiurban,Y
LP002004,Male,No,0,Not Graduate,No,2927,$111.00 ,360,1,Semiurban,Y
LP002006,Female,No,0,Graduate,No,2507,$56.00 ,360,1,Rural,Y
LP002008,Male,Yes,2,Graduate,Yes,5746,$144.00 ,84,,Rural,Y
LP002024,,Yes,0,Graduate,No,2473,$159.00 ,360,1,Rural,N
LP002031,Male,Yes,1,Not Graduate,No,3399,$111.00 ,180,1,Urban,Y
LP002035,Male,Yes,2,Graduate,No,3717,$120.00 ,360,1,Semiurban,Y
LP002036,Male,Yes,0,Graduate,No,2058,$88.00 ,360,,Urban,Y
LP002043,Female,No,1,Graduate,No,3541,$112.00 ,360,,Semiurban,Y
LP002050,Male,Yes,1,Graduate,Yes,10000,$155.00 ,360,1,Rural,N
LP002051,Male,Yes,0,Graduate,No,2400,$115.00 ,360,1,Semiurban,Y
LP002053,Male,Yes,3+,Graduate,No,4342,$124.00 ,360,1,Semiurban,Y
LP002054,Male,Yes,2,Not Graduate,No,3601,,360,1,Rural,Y
LP002055,Female,No,0,Graduate,No,3166,$132.00 ,360,,Rural,Y
LP002065,Male,Yes,3+,Graduate,No,15000,$300.00 ,360,1,Rural,Y
LP002067,Male,Yes,1,Graduate,Yes,8666,$376.00 ,360,0,Rural,N
LP002068,Male,No,0,Graduate,No,4917,$130.00 ,360,0,Rural,Y
LP002082,Male,Yes,0,Graduate,Yes,5818,$184.00 ,360,1,Semiurban,Y
LP002086,Female,Yes,0,Graduate,No,4333,$110.00 ,360,1,Urban,N
